st_line,st_name,st_lat,st_lng,st_count
1호선,안양역,37.4016838636508,126.922729807594,1
1호선,송내역,37.48762042978674,126.75303966172912,1
1호선,외대앞역,37.5962732416653,127.06369251069,1
1호선,부평역,37.4899129374112,126.7238929152125,2
1호선,부천역,37.4839888842916,126.783081743529,1
1호선,동두천역,37.9276132662293,127.05492800053,1
1호선,개봉역,37.4946417150651,126.858715959622,1
1호선,석계역,37.6150773223474,127.0661958162935,2
1호선,동두천중앙역,37.9017807357936,127.05642330094,1
1호선,회룡역,37.7244005672306,127.047182315447,2
1호선,두정역,36.8335990318913,127.149080841068,1
1호선,동묘앞역,37.572694126331,127.0160448925485,2
1호선,천안역,36.8105230585171,127.146489919432,1
1호선,용산역,37.52969071370532,126.96474951762289,2
1호선,지행역,37.89187790665784,127.05566541206078,1
1호선,동암역,37.4706957867304,126.702889753462,1
1호선,직산역,36.8709328418739,127.143823728817,1
1호선,진위역,37.1100790285838,127.062355993621,1
1호선,소요산역,37.9488975919392,127.061128608638,1
1호선,주안역,37.46510425763975,126.6794929571495,2
1호선,동인천역,37.47540823022216,126.63261829085184,1
1호선,서동탄역,37.1957351505295,127.051856779194,1
1호선,창동역,37.65335457852995,127.04801670479799,2
1호선,월계역,37.6332775453974,127.058857087601,1
1호선,부개역,37.488477043182,126.740730089704,1
1호선,도봉역,37.6792119046658,127.045534886672,1
1호선,가능역,37.7483963196456,127.044288264841,1
1호선,온양온천역,36.7805448837693,127.003181472942,1
1호선,신설동역,37.57564671163593,127.02461770026345,3
1호선,도원역,37.46877345079704,126.64253289201078,1
1호선,도화역,37.4661175111199,126.668575935273,1
1호선,봉명역,36.8014198330363,127.1360381121,1
1호선,신길역,37.517225503182075,126.91664057920714,2
1호선,독산역,37.4659755677766,126.889475639948,1
1호선,서울역,37.55411322303234,126.97149440831866,3
1호선,간석역,37.4647071796968,126.693517898292,1
1호선,소사역,37.48285388202778,126.79535242232828,2
1호선,의왕역,37.3203421132836,126.9479765012,1
1호선,화서역,37.2840016829776,126.9896120326472,1
1호선,성균관대역,37.3003290017027,126.971022000022,1
1호선,신도림역,37.50856443660732,126.89146229427553,2
1호선,동대문역,37.571287439691,127.009972687514,2
1호선,회기역,37.5897493238656,127.05813740398634,3
1호선,가산디지털단지역,37.48096357813655,126.8826382584175,2
1호선,서정리역,37.0565637021655,127.052881703722,1
2호선,낙성대역,37.4770932409965,126.963523905001,1
2호선,신도림역,37.50856443660732,126.89146229427553,2
2호선,신대방역,37.4876522647152,126.913509735491,1
2호선,문래역,37.5179757181801,126.894778820701,1
2호선,아현역,37.55740617797663,126.95614644008904,1
2호선,신설동역,37.57564671163593,127.02461770026345,3
2호선,신당역,37.5656730531732,127.019477533278,2
2호선,도림천역,37.5145080414761,126.882649092584,1
2호선,서울대입구역,37.4812845080678,126.952713197762,1
2호선,까치산역,37.5318183413899,126.846696273361,2
2호선,한양대역,37.5557159860408,127.043639802768,1
2호선,시청역,37.564513616907604,126.976398240628,2
2호선,신정네거리역,37.5202231231721,126.852889567642,1
2호선,신림역,37.4842680361482,126.929745374123,1
2호선,동대문역사문화공원역,37.5651434225553,127.00757002261967,3
2호선,신답역,37.5698386846442,127.047080117369,1
2호선,종합운동장역,37.51127722522415,127.0750869664935,2
2호선,당산역,37.5342867802067,126.9023884241505,2
2호선,뚝섬역,37.547241554679,127.04738727881,1
2호선,선릉역,37.50483259974001,127.04883524385119,2
2호선,합정역,37.549348147448555,126.914334757836,2
2호선,대림역,37.4930764726666,126.8958269470465,2
2호선,신촌역,37.55519907036358,126.93698075917935,1
2호선,양천구청역,37.5123888716808,126.865722369229,1
2호선,성수역,37.5445888153751,127.056066999327,1
2호선,역삼역,37.5006744185994,127.03646946847,1
2호선,이대역,37.556814719896,126.946431808973,1
2호선,구로디지털단지역,37.4852605752505,126.901473080039,1
2호선,교대역,37.4933215833981,127.014125899471,2
