apartment_id,st_name,st_dist,st_volume
180,마들역,0.00800616699114412,1
183,녹천역,0.00636809849786354,1
184,상계역,0.0038223674953152954,1
185,학여울역,0.0032034127763936535,1
186,마들역,0.003699316154098093,1
187,방학역,0.006234267985244956,1
189,수락산역,0.0029645768491907867,1
190,마들역,0.00695519070093907,1
192,창동역,0.006690853839795324,2
193,마들역,0.005986404335731069,1
194,도봉역,0.004869766520584795,1
196,마들역,0.005649162330488101,1
197,마들역,0.002255520539155372,1
198,마들역,0.003073002025635974,1
199,마들역,0.0050777597559082815,1
201,방학역,0.0048423635299321265,1
202,녹천역,0.0048336302741491385,1
203,녹천역,0.0074409963349368665,1
206,마들역,0.0027091069982124617,1
207,마들역,0.007347251381444843,1
208,마들역,0.0070564316199680675,1
209,학여울역,0.005380484081684112,1
210,노원역,0.003982325751763072,2
